HET2-3-ND,CSF,N/A,N/A,0.02,0.02,0.02,0.02,0.02,0.02
HET2-3-ND,D3,N/A,N/A,0.02,0.02,0.02,0.02,0.02,0.02
HET2-3-ND,TH01,N/A,N/A,0.02,0.02,0.02,0.02,0.02,0.02
HET2-3-ND,D13,N/A,N/A,0.04,0.02,0.02,0.02,0.02,0.02
HET2-3-ND,D16,N/A,N/A,0.02,0.02,0.02,0.02,0.02,0.02
HET2-3-ND,D2,N/A,N/A,0.18,0.02,0.02,0.02,0.02,0.02
HET2-3-ND,D19,N/A,N/A,0.02,0.02,0.02,0.02,0.02,0.02
HET2-3-ND,vWA,N/A,N/A,0.07,0.02,0.02,0.02,0.02,0.02
HET2-3-ND,TPOX,N/A,N/A,0.02,0.02,0.02,0.02,0.02,0.02
HET2-3-ND,D18,N/A,N/A,0.09,0.02,0.02,0.02,0.02,0.02
HET2-3-ND,D5,N/A,N/A,0.02,0.02,0.02,0.02,0.02,0.02
HET2-3-ND,FGA,N/A,N/A,0.03,0.02,0.02,0.02,0.02,0.02
HOM1-3-ND,D8,N/A,N/A,0.05,0.02,0.02,0.02,0.02,0.02
HOM1-3-ND,D21,N/A,N/A,0.02,0.02,0.02,0.02,0.02,0.02
HOM1-3-ND,D7,N/A,N/A,0.02,0.02,0.02,0.02,0.02,0.02
HOM1-3-ND,CSF,N/A,N/A,0.02,0.02,0.02,0.02,0.02,0.02
HOM1-3-ND,D3,N/A,N/A,0.05,0.02,0.02,0.02,0.02,0.02
HOM1-3-ND,TH01,N/A,N/A,0.12,0.02,0.02,0.02,0.02,0.02
HOM1-3-ND,D13,N/A,N/A,0.02,0.02,0.02,0.02,0.02,0.02
HOM1-3-ND,D16,N/A,N/A,0.08,0.02,0.02,0.02,0.02,0.02
HOM1-3-ND,D2,N/A,N/A,0.02,0.02,0.02,0.02,0.02,0.02
HOM1-3-ND,D19,N/A,N/A,0.02,0.02,0.02,0.02,0.02,0.02
HOM1-3-ND,vWA,N/A,N/A,0.02,0.02,0.02,0.02,0.02,0.02
HOM1-3-ND,TPOX,N/A,N/A,0.02,0.02,0.02,0.02,0.02,0.02
HOM1-3-ND,D18,N/A,N/A,0.02,0.02,0.02,0.02,0.02,0.02
HOM1-3-ND,D5,N/A,N/A,0.02,0.02,0.02,0.02,0.02,0.02
HOM1-3-ND,FGA,N/A,N/A,0.02,0.02,0.02,0.02,0.02,0.02
HET1-2-D,D8,N/A,N/A,0.46,0.38,0.19,0.27,0.15,0.07
HET1-2-D,D21,N/A,N/A,0.5,0.39,0.33,0.28,0.15,0.15
HET1-2-D,D7,N/A,N/A,0.35,0.35,0.26,0.31,0.25,0.05
HET1-2-D,CSF,N/A,N/A,0.5,0.39,0.38,0.44,0.24,0.24
HET1-2-D,D3,N/A,N/A,0.5,0.5,0.25,0.19,0.19,0.05
HET1-2-D,TH01,N/A,N/A,0.47,0.3,0.3,0.2,0.2,0.12
HET1-2-D,D13,N/A,N/A,0.46,0.4,0.28,0.25,0.17,0.14
HET1-2-D,D16,N/A,N/A,0.27,0.27,0.27,0.2,0.2,0.19
HET1-2-D,D2,N/A,N/A,0.5,0.5,0.32,0.28,0.25,0.14
HET1-2-D,D19,N/A,N/A,0.42,0.42,0.16,0.31,0.18,0.09
HET1-2-D,vWA,N/A,N/A,0.43,0.4,0.29,0.15,0.15,0.15
HET1-2-D,TPOX,N/A,N/A,0.5,0.32,0.24,0.25,0.25,0.05
HET1-2-D,D18,N/A,N/A,0.47,0.46,0.36,0.3,0.15,0.12
HET1-2-D,D5,N/A,N/A,0.5,0.36,0.2,0.28,0.17,0.17
HET1-2-D,FGA,N/A,N/A,0.39,0.33,0.23,0.33,0.22,0.14
HET2-2-D,D8,N/A,N/A,0.17,0.05,0.02,0.02,0.02,0.02
HET2-2-D,D21,N/A,N/A,0.19,0.09,0.07,0.06,0.02,0.02
HET2-2-D,D7,N/A,N/A,0.33,0.11,0.02,0.08,0.02,0.02
HET2-2-D,CSF,N/A,N/A,0.18,0.06,0.02,0.03,0.03,0.02
HET2-2-D,D3,N/A,N/A,0.12,0.02,0.02,0.03,0.02,0.02
HET2-2-D,TH01,N/A,N/A,0.12,0.02,0.02,0.03,0.02,0.02
HET2-2-D,D13,N/A,N/A,0.23,0.07,0.02,0.02,0.02,0.02
HET2-2-D,D16,N/A,N/A,0.32,0.09,0.02,0.03,0.02,0.02
HET2-2-D,D2,N/A,N/A,0.24,0.09,0.09,0.02,0.02,0.02
HET2-2-D,D19,N/A,N/A,0.21,0.07,0.02,0.03,0.02,0.02
HET2-2-D,vWA,N/A,N/A,0.22,0.1,0.06,0.04,0.03,0.02
HET2-2-D,TPOX,N/A,N/A,0.07,0.03,0.02,0.02,0.02,0.02
HET2-2-D,D18,N/A,N/A,0.16,0.07,0.06,0.02,0.02,0.02
HET2-2-D,D5,N/A,N/A,0.05,0.02,0.02,0.02,0.02,0.02
HET2-2-D,FGA,N/A,N/A,0.27,0.18,0.07,0.17,0.05,0.02
HOM1-2-D,D19,N/A,N/A,0.09,0.06,0.06,0.02,0.02,0.02
HOM1-2-D,D3,N/A,N/A,0.23,0.06,0.06,0.02,0.02,0.02
HOM1-2-D,D8,N/A,N/A,0.03,0.03,0.02,0.02,0.02,0.02
HOM1-2-D,D5,N/A,N/A,0.09,0.02,0.02,0.02,0.02,0.02
